iter	Passed	Remaining
0	163	163287
1	164	81899
2	164	54800
3	165	41187
4	166	33048
5	166	27628
6	167	23749
7	168	20846
8	168	18562
9	169	16754
10	169	15280
11	170	14050
12	171	13014
13	172	12118
14	172	11342
15	173	10662
16	174	10066
17	174	9537
18	175	9060
19	176	8632
20	176	8242
21	177	7888
22	178	7565
23	178	7268
24	179	6994
25	179	6741
26	180	6510
27	181	6293
28	181	6092
29	182	5903
30	183	5726
31	183	5560
32	184	5404
33	185	5258
34	185	5119
35	186	4989
36	186	4866
37	187	4750
38	188	4640
39	189	4541
40	189	4443
41	190	4349
42	191	4260
43	192	4175
44	192	4093
45	193	4015
46	194	3938
47	194	3865
48	195	3794
49	196	3726
50	196	3660
51	197	3597
52	197	3537
53	198	3478
54	199	3419
55	199	3363
56	200	3311
57	200	3261
58	201	3213
59	202	3167
60	202	3119
61	203	3074
62	203	3028
63	204	2987
64	204	2947
65	205	2908
66	206	2871
67	206	2834
68	207	2799
69	208	2765
70	208	2732
71	209	2699
72	210	2667
73	210	2636
74	211	2606
75	211	2577
76	212	2548
77	213	2520
78	213	2493
79	214	2466
80	215	2440
81	215	2414
82	216	2390
83	217	2367
84	217	2344
85	218	2322
86	219	2300
87	219	2279
88	220	2256
89	221	2235
90	221	2215
91	222	2195
92	223	2176
93	223	2158
94	224	2139
95	225	2121
96	226	2104
97	226	2087
98	227	2070
99	228	2053
100	228	2037
101	229	2021
102	230	2005
103	230	1989
104	231	1974
105	232	1960
106	233	1945
107	233	1931
108	234	1917
109	235	1903
110	235	1890
111	236	1876
112	237	1863
113	238	1850
114	238	1836
115	239	1824
116	240	1811
117	240	1799
118	241	1787
119	242	1774
120	242	1762
121	243	1750
122	243	1739
123	244	1727
124	245	1716
125	245	1704
126	246	1693
127	247	1684
128	247	1672
129	248	1661
130	248	1651
131	249	1641
132	250	1631
133	250	1621
134	251	1611
135	252	1601
136	252	1592
137	253	1582
138	253	1573
139	254	1563
140	255	1554
141	255	1545
142	256	1536
143	257	1527
144	257	1519
145	258	1510
146	258	1502
147	259	1493
148	259	1484
149	260	1475
150	261	1467
151	261	1459
152	262	1452
153	263	1445
154	263	1437
155	264	1430
156	264	1422
157	265	1415
158	266	1407
159	266	1400
160	267	1393
161	268	1386
162	268	1379
163	269	1372
164	269	1365
165	270	1358
166	271	1351
167	271	1345
168	272	1338
169	272	1332
170	273	1325
171	274	1319
172	274	1313
173	275	1307
174	275	1300
175	276	1294
176	277	1289
177	278	1283
178	278	1278
179	279	1272
180	280	1267
181	280	1262
182	281	1256
183	282	1250
184	282	1245
185	283	1239
186	283	1234
187	284	1228
188	285	1223
189	285	1218
190	286	1212
191	286	1207
192	287	1202
193	288	1197
194	288	1192
195	289	1187
196	290	1182
197	290	1177
198	291	1172
199	292	1168
200	292	1163
201	293	1159
202	294	1154
203	294	1150
204	295	1145
205	296	1141
206	296	1136
207	297	1131
208	297	1127
209	298	1123
210	299	1118
211	299	1114
212	300	1110
213	301	1105
214	301	1101
215	302	1097
216	302	1093
217	303	1088
218	304	1084
219	304	1080
220	305	1076
221	306	1072
222	306	1069
223	307	1065
224	308	1061
225	308	1058
226	309	1054
227	310	1050
228	310	1046
229	311	1042
230	312	1039
231	312	1035
232	313	1031
233	314	1027
234	314	1024
235	315	1020
236	315	1016
237	316	1013
238	317	1009
239	317	1005
240	318	1002
241	318	998
242	319	995
243	320	991
244	320	988
245	321	984
246	322	981
247	322	978
248	323	975
249	324	972
250	324	969
251	325	965
252	326	962
253	326	959
254	327	956
255	327	952
256	328	949
257	329	946
258	329	943
259	330	940
260	330	937
261	331	933
262	332	930
263	332	927
264	333	924
265	333	921
266	334	918
267	335	915
268	335	912
269	336	909
270	337	906
271	337	904
272	338	901
273	339	898
274	339	895
275	340	892
276	340	889
277	341	886
278	342	884
279	342	881
280	343	878
281	343	875
282	344	873
283	345	870
284	345	867
285	346	864
286	347	862
287	347	859
288	348	856
289	348	853
290	349	851
291	350	848
292	350	846
293	351	844
294	352	842
295	353	839
296	353	837
297	354	834
298	354	832
299	355	829
300	356	827
301	356	824
302	357	822
303	358	820
304	358	817
305	359	815
306	360	812
307	360	810
308	361	808
309	361	805
310	362	803
311	363	801
312	364	799
313	364	797
314	365	794
315	366	792
316	366	790
317	367	788
318	368	786
319	368	783
320	369	781
321	370	779
322	370	777
323	371	775
324	372	773
325	372	771
326	373	769
327	374	767
328	375	765
329	375	763
330	376	761
331	377	759
332	378	757
333	378	755
334	379	753
335	380	751
336	380	749
337	381	747
338	382	745
339	383	743
340	383	741
341	384	739
342	385	737
343	385	735
344	386	733
345	387	731
346	387	729
347	388	728
348	389	726
349	390	724
350	390	722
351	391	720
352	392	718
353	393	717
354	393	715
355	394	713
356	395	711
357	395	709
358	396	707
359	397	705
360	397	703
361	398	702
362	398	700
363	399	698
364	400	696
365	401	694
366	401	692
367	402	691
368	403	689
369	403	687
370	404	685
371	405	684
372	405	682
373	406	680
374	407	678
375	408	677
376	409	675
377	409	674
378	410	672
379	411	670
380	411	668
381	412	667
382	413	665
383	413	663
384	414	662
385	415	660
386	415	658
387	416	656
388	417	655
389	417	653
390	418	652
391	419	650
392	419	648
393	420	646
394	421	645
395	421	643
396	422	641
397	423	640
398	424	638
399	424	637
400	425	635
401	425	633
402	426	631
403	427	630
404	427	628
405	428	626
406	429	625
407	429	623
408	430	621
409	430	620
410	431	618
411	432	616
412	432	615
413	433	613
414	434	611
415	434	610
416	435	608
417	435	606
418	436	605
419	437	603
420	437	602
421	438	600
422	439	599
423	440	597
424	440	596
425	441	594
426	441	592
427	442	591
428	443	589
429	443	588
430	444	586
431	444	585
432	445	583
433	446	581
434	446	580
435	447	578
436	448	577
437	448	575
438	449	574
439	450	572
440	450	571
441	451	569
442	451	568
443	452	566
444	453	565
445	454	564
446	454	562
447	455	561
448	456	559
449	456	558
450	457	557
451	458	555
452	459	554
453	459	553
454	460	551
455	461	550
456	462	549
457	462	547
458	463	546
459	464	545
460	465	543
461	465	542
462	466	541
463	467	539
464	467	538
465	468	536
466	469	535
467	469	534
468	470	532
469	471	531
470	471	529
471	472	528
472	473	527
473	474	526
474	474	524
475	475	523
476	476	522
477	477	521
478	477	519
479	478	518
480	479	517
481	480	515
482	480	514
483	481	513
484	482	511
485	482	510
486	483	509
487	484	508
488	485	506
489	485	505
490	486	504
491	487	502
492	487	501
493	488	500
494	489	499
495	489	497
496	490	496
497	491	495
498	492	494
499	492	492
500	493	491
501	494	490
502	494	488
503	495	487
504	496	486
505	496	484
506	497	483
507	497	482
508	498	480
509	499	479
510	499	478
511	500	476
512	501	475
513	501	474
514	502	472
515	502	471
516	503	470
517	504	469
518	504	467
519	505	466
520	506	465
521	506	463
522	507	462
523	507	461
524	508	460
525	509	458
526	509	457
527	510	456
528	511	454
529	511	453
530	512	452
531	513	451
532	513	450
533	514	448
534	515	447
535	515	446
536	516	445
537	517	443
538	517	442
539	518	441
540	518	440
541	519	439
542	520	437
543	520	436
544	521	435
545	521	434
546	522	432
547	523	431
548	523	430
549	524	429
550	525	427
551	525	426
552	526	425
553	526	424
554	527	422
555	528	421
556	528	420
557	529	419
558	530	418
559	530	417
560	531	415
561	532	414
562	532	413
563	533	412
564	534	411
565	534	409
566	535	408
567	536	407
568	536	406
569	537	405
570	537	404
571	538	403
572	539	401
573	539	400
574	540	399
575	541	398
576	541	397
577	542	395
578	542	394
579	543	393
580	544	392
581	545	391
582	545	390
583	546	389
584	547	388
585	547	386
586	548	385
587	549	384
588	549	383
589	550	382
590	550	381
591	551	380
592	552	378
593	552	377
594	553	376
595	553	375
596	554	374
597	555	373
598	555	372
599	556	370
600	557	369
601	557	368
602	558	367
603	559	366
604	559	365
605	560	364
606	561	363
607	561	362
608	562	361
609	563	360
610	563	358
611	564	357
612	564	356
613	565	355
614	566	354
615	566	353
616	567	352
617	567	351
618	568	349
619	569	348
620	569	347
621	570	346
622	571	345
623	571	344
624	572	343
625	573	342
626	573	341
627	574	340
628	575	339
629	575	338
630	576	337
631	577	336
632	577	335
633	578	333
634	579	332
635	579	331
636	580	330
637	581	329
638	581	328
639	582	327
640	582	326
641	583	325
642	584	324
643	584	323
644	585	322
645	585	321
646	586	320
647	587	318
648	587	317
649	588	316
650	589	315
651	590	314
652	590	313
653	591	312
654	591	311
655	592	310
656	593	309
657	593	308
658	594	307
659	595	306
660	595	305
661	596	304
662	596	303
663	597	302
664	598	301
665	598	300
666	599	299
667	599	298
668	600	297
669	601	296
670	601	295
671	602	294
672	603	293
673	603	292
674	604	291
675	605	290
676	606	289
677	606	288
678	607	287
679	607	286
680	608	285
681	609	284
682	609	282
683	610	281
684	610	280
685	611	279
686	612	278
687	612	277
688	613	276
689	613	275
690	614	274
691	615	273
692	615	272
693	616	271
694	617	270
695	617	269
696	618	268
697	619	268
698	620	267
699	620	266
700	621	265
701	622	264
702	622	263
703	623	262
704	623	261
705	624	260
706	625	259
707	625	258
708	626	257
709	627	256
710	627	255
711	628	254
712	628	253
713	629	252
714	630	251
715	631	250
716	631	249
717	632	248
718	632	247
719	633	246
720	634	245
721	634	244
722	635	243
723	636	242
724	636	241
725	637	240
726	637	239
727	638	238
728	639	237
729	639	236
730	640	235
731	641	234
732	641	233
733	642	232
734	642	231
735	643	230
736	644	229
737	644	228
738	645	227
739	645	226
740	646	226
741	647	225
742	647	224
743	648	223
744	649	222
745	649	221
746	650	220
747	650	219
748	651	218
749	652	217
750	652	216
751	653	215
752	653	214
753	654	213
754	655	212
755	655	211
756	656	210
757	656	209
758	657	208
759	658	207
760	658	206
761	659	205
762	659	204
763	660	204
764	661	203
765	661	202
766	662	201
767	662	200
768	663	199
769	664	198
770	664	197
771	665	196
772	666	195
773	666	194
774	667	193
775	667	192
776	668	191
777	669	190
778	669	190
779	670	189
780	671	188
781	671	187
782	672	186
783	672	185
784	673	184
785	674	183
786	674	182
787	675	181
788	676	180
789	676	179
790	677	178
791	677	178
792	678	177
793	679	176
794	679	175
795	680	174
796	680	173
797	681	172
798	682	171
799	682	170
800	683	169
801	683	168
802	684	167
803	685	167
804	685	166
805	686	165
806	687	164
807	687	163
808	688	162
809	688	161
810	689	160
811	690	159
812	690	158
813	691	157
814	692	157
815	692	156
816	693	155
817	693	154
818	694	153
819	695	152
820	695	151
821	696	150
822	696	149
823	697	148
824	698	148
825	698	147
826	699	146
827	700	145
828	700	144
829	701	143
830	701	142
831	702	141
832	703	140
833	703	140
834	704	139
835	704	138
836	705	137
837	706	136
838	706	135
839	707	134
840	707	133
841	708	132
842	709	132
843	709	131
844	710	130
845	711	129
846	711	128
847	712	127
848	712	126
849	713	125
850	714	125
851	714	124
852	715	123
853	715	122
854	716	121
855	717	120
856	717	119
857	718	118
858	718	118
859	719	117
860	720	116
861	720	115
862	721	114
863	722	113
864	722	112
865	723	111
866	723	111
867	724	110
868	725	109
869	725	108
870	726	107
871	726	106
872	727	105
873	728	104
874	728	104
875	729	103
876	729	102
877	730	101
878	731	100
879	731	99
880	732	98
881	732	98
882	733	97
883	734	96
884	734	95
